Sr,STYLE,SEASON,CATEGORY,COLOUR,SKU,SIZE,QTY
255,M14057,FW25,SWEATER,BLACK,10491622,42,0
256,M14057,FW25,SWEATER,BLACK,10491623,44,0
257,M14057,FW25,SWEATER,BLACK,10491624,46,0
258,M14057,FW25,SWEATER,BLACK,10491625,48,0
259,M14057,FW25,SWEATER,BLACK,10491626,50,0
260,M14057,FW25,SWEATER,BLACK,10491627,52,0
261,M14057,FW25,SWEATER,BLACK,10491628,54,0
262,M14057,FW25,SWEATER,BORDEAUX,10491610,38,0
263,M14057,FW25,SWEATER,BORDEAUX,10491611,40,0
264,M14057,FW25,SWEATER,BORDEAUX,10491612,42,0
265,M14057,FW25,SWEATER,BORDEAUX,10491613,44,0
266,M14057,FW25,SWEATER,BORDEAUX,10491614,46,0
267,M14057,FW25,SWEATER,BORDEAUX,10491615,48,0
268,M14057,FW25,SWEATER,BORDEAUX,10491616,50,0
269,M14057,FW25,SWEATER,BORDEAUX,10491617,52,0
270,M14057,FW25,SWEATER,BORDEAUX,10491618,54,0
271,M25700,FW25,SWEATER,BLACK,10483140,38,0
272,M25700,FW25,SWEATER,BLACK,10483141,40,0
273,M25700,FW25,SWEATER,BLACK,10483142,42,0
274,M25700,FW25,SWEATER,BLACK,10483143,44,0
275,M25700,FW25,SWEATER,BLACK,10483144,46,0
276,M25700,FW25,SWEATER,BLACK,10483145,48,0
277,M25700,FW25,SWEATER,BLACK,10483146,50,0
278,M25700,FW25,SWEATER,BLACK,10483147,52,0
279,M25700,FW25,SWEATER,BLACK,10483148,54,0
280,M25711,FW25,TOP,BLACK,10496860,38,0
281,M25711,FW25,TOP,BLACK,10496861,40,0
282,M25711,FW25,TOP,BLACK,10496862,42,0
283,M25711,FW25,TOP,BLACK,10496863,44,0
284,M25711,FW25,TOP,BLACK,10496864,46,0
285,M25711,FW25,TOP,BLACK,10496865,48,0
286,M25711,FW25,TOP,BLACK,10496866,50,0
287,M25711,FW25,TOP,BLACK,10496867,52,0
288,M25711,FW25,TOP,BLACK,10496868,54,0
289,MC8229,FW25,BELT,BLACK,10483210,38,0
290,MC8229,FW25,BELT,BLACK,10483211,40,0
291,MC8229,FW25,BELT,BLACK,10483212,42,0
292,MC8229,FW25,BELT,BLACK,10483213,44,0
293,MC8229,FW25,BELT,BLACK,10483214,46,0
294,MC8229,FW25,BELT,BLACK,10483215,48,0
295,MC8229,FW25,BELT,BLACK,10483216,50,0
296,MC8229,FW25,BELT,BLACK,10483217,52,0
297,MC8229,FW25,BELT,BLACK,10483218,54,0
298,MF0205,FW25,DRESS,BLACK,10478660,38,0
299,MF0205,FW25,DRESS,BLACK,10478661,40,0
300,MF0205,FW25,DRESS,BLACK,10478662,42,0
301,MF0205,FW25,DRESS,BLACK,10478663,44,0
302,MF0205,FW25,DRESS,BLACK,10478664,46,0
303,MF0205,FW25,DRESS,BLACK,10478665,48,0
304,MF0205,FW25,DRESS,BLACK,10478666,50,0
305,MF0205,FW25,DRESS,BLACK,10478667,52,0
306,MF0205,FW25,DRESS,BLACK,10478668,54,0
307,MF0212,FW25,DRESS,BLACK,10410940,38,0
308,MF0212,FW25,DRESS,BLACK,10410941,40,0
309,MF0212,FW25,DRESS,BLACK,10410942,42,0
310,MF0212,FW25,DRESS,BLACK,10410943,44,0
311,MF0212,FW25,DRESS,BLACK,10410944,46,0
312,MF0212,FW25,DRESS,BLACK,10410945,48,0
313,MF0212,FW25,DRESS,BLACK,10410946,50,0
314,MF0212,FW25,DRESS,BLACK,10410947,52,0
315,MF0212,FW25,DRESS,BLACK,10410948,54,0
316,MF0218,FW25,DRESS,RED,10501570,38,0
317,MF0218,FW25,DRESS,RED,10501571,40,0
318,MF0218,FW25,DRESS,RED,10501572,42,0
319,MF0218,FW25,DRESS,RED,10501573,44,0
320,MF0218,FW25,DRESS,RED,10501574,46,0
321,MF0218,FW25,DRESS,RED,10501575,48,0
322,MF0218,FW25,DRESS,RED,10501576,50,0
323,MF0218,FW25,DRESS,RED,10501577,52,0
324,MF0218,FW25,DRESS,RED,10501578,54,0
325,MF0222,FW25,DRESS,BROWN,10478670,38,0
326,MF0222,FW25,DRESS,BROWN,10478671,40,0
327,MF0222,FW25,DRESS,BROWN,10478672,42,0
328,MF0222,FW25,DRESS,BROWN,10478673,44,0
329,MF0222,FW25,DRESS,BROWN,10478674,46,0
330,MF0222,FW25,DRESS,BROWN,10478675,48,0
331,MF0222,FW25,DRESS,BROWN,10478676,50,0
332,MF0222,FW25,DRESS,BROWN,10478677,52,0
333,MF0222,FW25,DRESS,BROWN,10478678,54,0
334,MF0222,FW25,DRESS,CREAM,10478680,38,0
335,MF0222,FW25,DRESS,CREAM,10478681,40,0
336,MF0222,FW25,DRESS,CREAM,10478682,42,0
337,MF0222,FW25,DRESS,CREAM,10478683,44,0
338,MF0222,FW25,DRESS,CREAM,10478684,46,0
339,MF0222,FW25,DRESS,CREAM,10478685,48,0
340,MF0222,FW25,DRESS,CREAM,10478686,50,0
341,MF0222,FW25,DRESS,CREAM,10478687,52,0
342,MF0222,FW25,DRESS,CREAM,10478688,54,0
343,MF0305,FW25,BLOUSE,GREY,10483090,38,0
344,MF0305,FW25,BLOUSE,GREY,10483091,40,0
345,MF0305,FW25,BLOUSE,GREY,10483092,42,0
346,MF0305,FW25,BLOUSE,GREY,10483093,44,0
347,MF0305,FW25,BLOUSE,GREY,10483094,46,0
348,MF0305,FW25,BLOUSE,GREY,10483095,48,0
349,MF0305,FW25,BLOUSE,GREY,10483096,50,0
350,MF0305,FW25,BLOUSE,GREY,10483097,52,0
351,MF0305,FW25,BLOUSE,GREY,10483098,54,0
352,MF0307,FW25,TOP,BLACK,10480330,38,0
353,MF0307,FW25,TOP,BLACK,10480331,40,0
354,MF0307,FW25,TOP,BLACK,10480332,42,0
355,MF0307,FW25,TOP,BLACK,10480333,44,0
356,MF0307,FW25,TOP,BLACK,10480334,46,0
357,MF0307,FW25,TOP,BLACK,10480335,48,0
358,MF0307,FW25,TOP,BLACK,10480336,50,0
